Organization,Repository,Language,Selected,Reasons for exclusion
redux-saga,redux-saga,JavaScript,TRUE,
SortableJS,Sortable,JavaScript,TRUE,
JedWatson,react-select,JavaScript,TRUE,
Tencent,wepy,JavaScript,TRUE,
GoogleChrome,lighthouse,JavaScript,TRUE,
ovity,octotree,JavaScript,FALSE,contributing is missing.
dimsemenov,PhotoSwipe,JavaScript,FALSE,contributing is missing.
kriasoft,react-starter-kit,JavaScript,TRUE,
atlassian,react-beautiful-dnd,JavaScript,TRUE,
goabstract,Awesome-Design-Tools,JavaScript,FALSE,contributing is missing.
bevacqua,dragula,JavaScript,TRUE,
Advanced-Frontend,Daily-Interview-Question,JavaScript,FALSE,contributing is missing.
Meituan-Dianping,mpvue,JavaScript,FALSE,contributing is not in English.
reduxjs,react-redux,JavaScript,TRUE,
typicode,husky,JavaScript,FALSE,contributing is missing.
Reactive-Extensions,RxJS,JavaScript,TRUE,
mochajs,mocha,JavaScript,TRUE,
bvaughn,react-virtualized,JavaScript,TRUE,
MrRio,jsPDF,JavaScript,FALSE,contributing is missing.
pugjs,pug,JavaScript,FALSE,contributing is missing.
paularmstrong,normalizr,JavaScript,TRUE,
ramda,ramda,JavaScript,TRUE,
petkaantonov,bluebird,JavaScript,FALSE,contributing size < 0.5kB.
nefe,You-Dont-Need-jQuery,JavaScript,FALSE,contributing is missing.
react-native-elements,react-native-elements,JavaScript,TRUE,
enzymejs,enzyme,JavaScript,TRUE,
jlmakes,scrollreveal,JavaScript,FALSE,contributing is missing.
pcottle,learnGitBranching,JavaScript,FALSE,contributing is missing.
iptv-org,iptv,JavaScript,TRUE,
postcss,autoprefixer,JavaScript,TRUE,
rollup,rollup,JavaScript,TRUE,
chenglou,react-motion,JavaScript,FALSE,contributing is missing.
MostlyAdequate,mostly-adequate-guide,JavaScript,TRUE,
feathericons,feather,JavaScript,TRUE,
facebook,draft-js,JavaScript,TRUE,
jgraph,drawio,JavaScript,FALSE,contributing is missing.
segmentio,nightmare,JavaScript,FALSE,contributing is missing.
ruanyf,es6tutorial,JavaScript,FALSE,contributing is missing.
verekia,js-stack-from-scratch,JavaScript,FALSE,contributing is missing.
tj,commander.js,JavaScript,TRUE,
OAI,OpenAPI-Specification,JavaScript,FALSE,contributing is missing.
facebook,docusaurus,JavaScript,TRUE,
odoo,odoo,JavaScript,TRUE,
bilibili,flv.js,JavaScript,FALSE,contributing is missing.
swagger-api,swagger-ui,JavaScript,FALSE,contributing is missing.
denysdovhan,wtfjs,JavaScript,FALSE,contributing is missing.
avajs,ava,JavaScript,TRUE,
react-bootstrap,react-bootstrap,JavaScript,TRUE,
jorgebucaran,hyperapp,JavaScript,FALSE,contributing is missing.
lovell,sharp,JavaScript,TRUE,
laurent22,joplin,JavaScript,TRUE,
poteto,hiring-without-whiteboards,JavaScript,TRUE,
vuejs,vuepress,JavaScript,TRUE,
necolas,react-native-web,JavaScript,TRUE,
BoostIO,Boostnote,JavaScript,TRUE,
YMFE,yapi,JavaScript,FALSE,contributing is missing.
reduxjs,reselect,JavaScript,FALSE,contributing is missing.
getredash,redash,JavaScript,TRUE,
eslint,eslint,JavaScript,TRUE,
jhipster,generator-jhipster,JavaScript,TRUE,
highlightjs,highlight.js,JavaScript,FALSE,contributing is missing.
vuejs,vue-router,JavaScript,FALSE,contributing is missing.
goldfire,howler.js,JavaScript,FALSE,contributing is missing.
facebook,flux,JavaScript,TRUE,
zhaoolee,ChromeAppHeroes,JavaScript,FALSE,contributing is missing.
defunkt,jquery-pjax,JavaScript,TRUE,
git-tips,tips,JavaScript,TRUE,
angular,material,JavaScript,TRUE,
marktext,marktext,JavaScript,TRUE,
graphql,graphql-js,JavaScript,TRUE,
wekan,wekan,JavaScript,FALSE,contributing size < 0.5kB.
fabricjs,fabric.js,JavaScript,TRUE,
less,less.js,JavaScript,TRUE,
Binaryify,NeteaseCloudMusicApi,JavaScript,FALSE,contributing is missing.
vercel,pkg,JavaScript,FALSE,contributing is missing.
twitter,typeahead.js,JavaScript,TRUE,
js-cookie,js-cookie,JavaScript,TRUE,
JacksonTian,fks,JavaScript,FALSE,contributing is missing.
validatorjs,validator.js,JavaScript,FALSE,contributing is missing.
mojs,mojs,JavaScript,TRUE,
nosir,cleave.js,JavaScript,FALSE,contributing is missing.
typescript-cheatsheets,react-typescript-cheatsheet,JavaScript,TRUE,
eggjs,egg,JavaScript,TRUE,
winstonjs,winston,JavaScript,TRUE,
alsotang,node-lessons,JavaScript,FALSE,contributing is missing.
quasarframework,quasar,JavaScript,FALSE,contributing size < 0.5kB.
mysqljs,mysql,JavaScript,FALSE,contributing is missing.
framework7io,framework7,JavaScript,TRUE,
hubotio,hubot,JavaScript,TRUE,
popperjs,popper-core,JavaScript,FALSE,contributing size < 0.5kB.
handlebars-lang,handlebars.js,JavaScript,TRUE,
GitSquared,edex-ui,JavaScript,FALSE,contributing is missing.
fastify,fastify,JavaScript,TRUE,
sideway,joi,JavaScript,FALSE,contributing is missing.
jamiebuilds,react-loadable,JavaScript,FALSE,contributing is missing.
portainer,portainer,JavaScript,TRUE,
visionmedia,superagent,JavaScript,FALSE,contributing size < 0.5kB.
ruanyf,react-demos,JavaScript,FALSE,contributing is missing.
menzi11,BullshitGenerator,JavaScript,FALSE,contributing is missing.
aFarkas,lazysizes,JavaScript,FALSE,contributing is missing.
fbsamples,f8app,JavaScript,TRUE,
philc,vimium,JavaScript,TRUE,
yaronn,blessed-contrib,JavaScript,FALSE,contributing is missing.
ampproject,amphtml,JavaScript,TRUE,
oblador,react-native-vector-icons,JavaScript,TRUE,
nfl,react-helmet,JavaScript,TRUE,
typicode,lowdb,JavaScript,FALSE,contributing is missing.
processing,p5.js,JavaScript,TRUE,
FormidableLabs,webpack-dashboard,JavaScript,TRUE,
jumpserver,jumpserver,JavaScript,FALSE,contributing is missing.
geeeeeeeeek,electronic-wechat,JavaScript,TRUE,
amazeui,amazeui,JavaScript,TRUE,
frappe,charts,JavaScript,FALSE,contributing is missing.
michalsnik,aos,JavaScript,TRUE,
angular,angular-seed,JavaScript,FALSE,contributing is missing.
pouchdb,pouchdb,JavaScript,TRUE,
jitsi,jitsi-meet,JavaScript,TRUE,
youzan,vant-weapp,JavaScript,FALSE,contributing is missing.
substack,stream-handbook,JavaScript,FALSE,contributing is missing.
